Optimal Tours for MLIP solved instances of size: 25

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
  23   |   1   |666.93     |681.93     |     8/72 Totterdell Street, Belconnen
  12   |   1   |686.05     |701.05     |     10/9 Keith Street, Scullin
  14   |   1   | 703.2     | 718.2     |     4 Long Place, Scullin
  24   |   1   |724.39     |739.39     |     9/57 Benjamin Way, Belconnen - Oracle
   4   |   1   |744.44     |759.44     |     1 Alroy Circuit, Hawker
  25   |   1   |   765     |   780     |     25 Edwards Street, Higgins
  19   |   1   |   880     |   895     |     8/9 Lidgett Place, Florey
   7   |   1   |   900     |   915     |     71 Shumack Street, Weetangera
   1   |   1   |   945     |   960     |     9/26 Springvale Drive, Hawker
  11   |   1   |   965     |   980     |     8/46 Catchpole Street, Macquarie

Path for instance 9
 LocId | Prize |  Arrival  |   Leave   |     Location
  23   |   1   |   540     |   555     |     70 De Little Circuit, Greenway
   6   |   1   |   570     |   585     |     18 Stieglitz Circuit, Kambah
  17   |   1   |   600     |   615     |     50 Maxworthy Street, Kambah
  12   |   1   | 623.7     | 638.7     |     9 Illingworth Street, Wanniassa
  11   |   1   |641.52     |656.52     |     17/14 Florence Taylor Street, Greenway
  13   |   1   |   660     |   675     |     23/1 Cowlishaw Street, Greenway
  21   |   1   |680.09     |695.09     |     62 Carr Crescent, Wanniassa
   8   |   1   |701.91     |716.91     |     5/87 Morrison Street, Kambah
  24   |   1   |   720     |   735     |     26 Longmore Crescent, Wanniassa
   3   |   1   |738.81     |753.81     |     4 Vansittart Crescent, Kambah
   5   |   1   | 779.4     | 794.4     |     64 O'Halloran Circuit, Kambah
   4   |   1   |   795     |   810     |     101 O'Halloran Circuit, Kambah
  25   |   1   |817.44     |832.44     |     4b Butterley Place, Wanniassa
  16   |   1   |838.35     |853.35     |     1 Hepburn Place, Kambah
  18   |   1   |   855     |   870     |     35 Barritt Street, Kambah
  10   |   1   |   885     |   900     |     35 Cutbush Street, Kambah
   1   |   1   |   915     |   930     |     43/25 Pinkerton Circuit, Kambah
  15   |   1   |  1350     |  1365     |     15 Rounsevell Street, Kambah

Path for instance 10
 LocId | Prize |  Arrival  |   Leave   |     Location
  14   |   1   |   600     |   615     |     20/114 Athllon Drive, Greenway
   6   |   1   |618.22     |633.22     |     Cynthea Teague Crescent, Greenway
   7   |   1   |634.98     |649.98     |     Oakden Street, Greenway, ACT
  11   |   1   |651.23     |666.23     |     Limburg Way, Greenway
  25   |   1   |670.39     |685.39     |     6/12 Clamp Place, Greenway
  17   |   1   |   690     |   705     |     23/1 Cowlishaw Street, Greenway
  10   |   1   |709.65     |724.65     |     Anketell Street, Greenway
  23   |   1   | 729.7     | 744.7     |     22 Abercorn Crescent, Isabella Plains
   9   |   1   |749.39     |764.39     |     6 Eggers Place, Bonython
