Optimal Tours for FPT solved instances of size: 25

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
   3   |   1   | 660.7     | 675.7     |     7c/4 Beetaloo Street, Hawker
  12   |   1   |678.99     |693.99     |     10/9 Keith Street, Scullin
  14   |   1   |696.14     |711.14     |     4 Long Place, Scullin
  17   |   1   |   720     |   735     |     8/2 Adair Street, Scullin , ACT
   4   |   1   |739.78     |754.78     |     1 Alroy Circuit, Hawker
  25   |   1   |760.34     |775.34     |     25 Edwards Street, Higgins
  19   |   1   |   880     |   895     |     8/9 Lidgett Place, Florey
   7   |   1   |   900     |   915     |     71 Shumack Street, Weetangera
   1   |   1   |   930     |   945     |     9/26 Springvale Drive, Hawker
  11   |   1   |947.51     |962.51     |     8/46 Catchpole Street, Macquarie

Path for instance 9
 LocId | Prize |  Arrival  |   Leave   |     Location
  23   |   1   |   540     |   555     |     70 De Little Circuit, Greenway
   6   |   1   |   570     |   585     |     18 Stieglitz Circuit, Kambah
  20   |   1   |   600     |   615     |     1 Lobb Place, Wanniassa
  12   |   1   |617.23     |632.23     |     9 Illingworth Street, Wanniassa
  11   |   1   |   640     |   655     |     17/14 Florence Taylor Street, Greenway
  22   |   1   |   660     |   675     |     65 Fincham Crescent, Wanniassa
  21   |   1   |677.85     |692.85     |     62 Carr Crescent, Wanniassa
   8   |   1   |695.84     |710.84     |     5/87 Morrison Street, Kambah
   7   |   1   |   720     |   735     |     186 Boddington Crescent, Kambah
   3   |   1   |736.85     |751.85     |     4 Vansittart Crescent, Kambah
   5   |   1   |752.72     |767.72     |     64 O'Halloran Circuit, Kambah
   4   |   1   |   770     |   785     |     101 O'Halloran Circuit, Kambah
  25   |   1   |   810     |   825     |     4b Butterley Place, Wanniassa
  16   |   1   |830.91     |845.91     |     1 Hepburn Place, Kambah
  18   |   1   |847.56     |862.56     |     35 Barritt Street, Kambah
  10   |   1   |   870     |   885     |     35 Cutbush Street, Kambah
   1   |   1   |   915     |   930     |     43/25 Pinkerton Circuit, Kambah
  15   |   1   |  1350     |  1365     |     15 Rounsevell Street, Kambah

Path for instance 10
 LocId | Prize |  Arrival  |   Leave   |     Location
  14   |   1   |   600     |   615     |     20/114 Athllon Drive, Greenway
  11   |   1   |617.89     |632.89     |     Limburg Way, Greenway
   7   |   1   |634.14     |649.14     |     Oakden Street, Greenway, ACT
   6   |   1   |649.38     |664.38     |     Cynthea Teague Crescent, Greenway
   2   |   1   |665.64     |680.64     |     14/10 Helpmann Street, Bonython
  13   |   1   |683.74     |698.74     |     20 Dashwood Retreat, Bonython
  20   |   1   |   703     |   718     |     26 Collyburl Crescent, Isabella Plains
  23   |   1   |   720     |   735     |     22 Abercorn Crescent, Isabella Plains
   9   |   1   |737.97     |752.97     |     6 Eggers Place, Bonython
   8   |   1   |753.58     |768.58     |     11/70 Hurtle Avenue, Bonython
   1   |   1   |   780     |   795     |     9/15 Tenison Woods Circuit, Bonython
  19   |   1   |799.21     |814.21     |     16 Catani Place, Monash
  22   |   1   |820.11     |835.11     |     17/22 Duggan Street, Calwell
   5   |   1   |   840     |   855     |     5 Puddy Street, Bonython
   4   |   1   |   900     |   915     |     17 Burgoyne Street, Bonython
  16   |   1   |918.98     |933.98     |     16/6 Dods Place, Greenway
  21   |   1   |  1050     |  1065     |     31/174 Clive Steele Avenue, Monash

Path for instance 11
 LocId | Prize |  Arrival  |   Leave   |     Location
  24   |   1   |   510     |   525     |     24 Edkins Street, Downer
   8   |   1   |   540     |   555     |     22a Hawdon Street, Ainslie
   9   |   1   |   570     |   585     |     6/156 Knox Street, Watson
  25   |   1   |   600     |   615     |     8/56 Ijong Street, Braddon
  22   |   1   |618.65     |633.65     |     80 Ebden Street, Ainslie
   3   |   1   |636.24     |651.24     |     146 Majura Avenue, Ainslie
  23   |   1   |653.97     |668.97     |     21a Cowper Street, Ainslie
  14   |   1   |672.13     |687.13     |     4/65 Melba Street, Downer
  12   |   1   | 689.4     | 704.4     |     10/15-17 Majura Avenue, Dickson
  17   |   1   |705.89     |720.89     |     45 Stockdale Street, Dickson
   4   |   1   |   735     |   750     |     54 Hannan Crescent, Ainslie
  15   |   1   |   780     |   795     |     17 Gardiner Street, Downer
  20   |   1   |   810     |   825     |     46a Stockdale Street, Dickson
  16   |   1   |   840     |   855     |     12/32 Stockdale Street, Dickson
  21   |   1   |   870     |   885     |     2 Hope Street, Dickson
  13   |   1   |888.15     |903.15     |     4a Rutherford Crescent, Ainslie
  11   |   1   |905.36     |920.36     |     16 Sherbrooke Street, Ainslie

Path for instance 12
 LocId | Prize |  Arrival  |   Leave   |     Location
   1   |   1   |   570     |   585     |     75 Belconnen Way, Weetangera
   8   |   1   |587.23     |602.23     |     19 Mayo Street, Weetangera
   9   |   1   |605.06     |620.06     |     28 Kinleyside Crescent, Weetangera
  10   |   1   |624.37     |639.37     |     31 Keartland Street, Page
   5   |   1   |642.56     |657.56     |     23 Bambridge Street, Weetangera
   3   |   1   | 660.7     | 675.7     |     7c/4 Beetaloo Street, Hawker
  12   |   1   |678.99     |693.99     |     10/9 Keith Street, Scullin
  14   |   1   |696.14     |711.14     |     4 Long Place, Scullin
  17   |   1   |   720     |   735     |     8/2 Adair Street, Scullin , ACT
